"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"1",1,0.113452188006483,0.65149136577708,0,0,0.405537459283388,0.65086887835703,0.362204724409449,0.480252764612954,0.19751166407465,0.581320450885668,0,0.783570300157978,0.372019077901431,0,0,0,0,0.6384,0.650381679389313,0,0,0,0,0,0,0,0.507086614173228,0.638230647709321,0.445151033386327,0,0.493650793650794,0.126760563380282,0.533333333333333,0,0.374622356495468,0.342902711323764,0.699386503067485,0.554160125588697,0.485133020344288,0,0,0.414516129032258,0.3625,0.501533742331288,0,0,0,0.482371794871795,0.451713395638629,0.409810126582278,0.337423312883436,0,0.39509954058193,0,0,0.326594090202177,0.514774494556765,0,0.325242718446602,0,0,0
"2",0.113452188006483,1,0.153970826580227,0,0.871499176276771,0.0318257956448911,0.17483660130719,0.0130932896890344,0.123778501628664,0,0.113522537562604,0.890499194847021,0.108108108108108,0.031404958677686,0,0.859903381642512,0,0,0.134551495016611,0.125,0.113964686998395,0.870813397129187,0.850671140939597,0.869421487603306,0.102141680395387,0.863192182410424,0.0284280936454849,0.117647058823529,0.148450244698206,0.117647058823529,0,0.121510673234811,0.831987075928918,0.1488,0.845901639344262,0.0286624203821656,0.00998336106489185,0.209076175040519,0.100486223662885,0.21875,0.139837398373984,0,0.0281923714759536,0.0112,0.135860979462875,0,0,0,0.12248322147651,0.110223642172524,0.00998336106489185,0.00947867298578199,0.836012861736334,0.0304,0.0271646859083192,0,0.00974025974025974,0.375201288244767,0,0.327181208053691,0,0,0
"3",0.65149136577708,0.153970826580227,1,0,0.0365659777424483,0.0310965630114566,1,0.00158982511923688,0.1,0,0.976114649681529,0.0372670807453416,0.990322580645161,0.0323101777059774,0,0.0360501567398119,0,0,0.995169082125604,0.973354231974922,0,0.0295489891135303,0.0306946688206785,0.0308441558441558,0,0.0365659777424483,0,0.134796238244514,0.998435054773083,0.102564102564103,0,0.14218009478673,0.157894736842105,0.8234375,0.0273752012882448,0.0247295208655332,0,0.908385093167702,0.9392,0.82472613458529,0,0,0.0192307692307692,0.0047244094488189,0.150455927051672,0,0,0,0.136217948717949,0.0923317683881064,0.0142857142857143,0.00154798761609907,0.0250391236306729,0.0323574730354391,0,0,0,0.750392464678179,0,0.583471074380165,0,0,0
"4",0,0,0,1,0,0.0691318327974277,0,0.110759493670886,0.00485436893203883,0.538827258320127,0,0,0,0.0836012861736334,0.841269841269841,0,0.837620578778135,0.858712715855573,0,0.0313971742543171,0.727554179566563,0,0.00162866449511401,0,0.72972972972973,0.00158982511923688,0.792270531400966,0,0,0.0747217806041336,0.871224165341812,0,0,0,0,0.0816640986132511,0.0924092409240924,0,0,0.0690208667736758,0.619582664526485,0.915873015873016,0.0403877221324717,0.0919003115264797,0,0.856012658227848,0.860062893081761,0.833860759493671,0,0.0078003120124805,0.0428571428571429,0.117647058823529,0.00154320987654321,0.0724409448818898,0.798701298701299,0.889776357827476,0.172684458398744,0,0.827102803738318,0.00164203612479475,0.871069182389937,0.881773399014778,0.846278317152104
"5",0,0.871499176276771,0.0365659777424483,0,1,0,0.0424143556280587,0,0,0,0.0552845528455285,0.996879875195008,0.00495049504950495,0,0.0032,0.990445859872611,0.00483091787439614,0.00322061191626409,0.00814332247557003,0.00317460317460317,0.179650238473768,1,1,1,0.169082125603865,0.996805111821086,0.0373376623376623,0,0.0333333333333333,0,0,0,0.906349206349206,0.0047244094488189,1,0,0,0.137440758293839,0.0981996726677578,0.0988654781199352,0.225961538461538,0,0,0,0,0.00161030595813205,0.00157977883096367,0.00480769230769231,0,0,0,0,0.9872,0,0.0334448160535117,0,0,0.304278922345483,0.00470219435736677,0.428571428571429,0,0,0.00326797385620915
"6",0.405537459283388,0.0318257956448911,0.0310965630114566,0.0691318327974277,0,1,0.0195121951219512,0.985342019543974,0.922314049586777,0.542622950819672,0.0199667221297837,0,0.0501672240802676,1,0,0,0,0.00318471337579618,0.0351758793969849,0.0256,0,0,0,0,0,0,0,0.906451612903226,0.0226904376012966,0.871335504885994,0.00161030595813205,0.898026315789474,0.00811688311688312,0.194127243066884,0,0.998415213946117,0.988235294117647,0.00815660685154975,0.00818330605564648,0.0245098039215686,0,0.0936995153473344,1,0.988691437802908,0.88871473354232,0,0,0,0.897009966777409,0.933333333333333,1,0.968,0,1,0,0.027823240589198,0.913183279742765,0.0271565495207668,0,0,0.0016366612111293,0.00165837479270315,0
"7",0.65086887835703,0.17483660130719,1,0,0.0424143556280587,0.0195121951219512,1,0,0.116242038216561,0,0.97557003257329,0.0473933649289099,0.980327868852459,0.024232633279483,0,0.0409448818897638,0,0,0.993366500829187,0.976190476190476,0,0.0390015600624025,0.0351758793969849,0.0311475409836066,0,0.0430622009569378,0,0.138977635782748,1,0.110223642172524,0,0.146341463414634,0.167464114832536,0.825119236883943,0.0374592833876222,0.0141955835962145,0,0.920508744038156,0.938009787928222,0.832012678288431,0.00161030595813205,0,0.0163132137030995,0.00316455696202532,0.1609375,0,0,0,0.142156862745098,0.102325581395349,0.00969305331179321,0,0.0302547770700637,0.0204081632653061,0,0,0,0.753164556962025,0,0.582362728785358,0,0,0
"8",0.362204724409449,0.0130932896890344,0.00158982511923688,0.110759493670886,0,0.985342019543974,0,1,0.86984126984127,0.592233009708738,0,0,0.0180921052631579,0.985365853658537,0.00484652665589661,0,0.00324149108589951,0.00955414012738853,0.00813008130081301,0,0.0062992125984252,0,0,0,0.00481540930979133,0,0,0.849025974025974,0,0.825040128410915,0.0176282051282051,0.848242811501597,0.0016,0.164296998420221,0,0.987361769352291,1,0,0,0.00318979266347687,0,0.147487844408428,0.988524590163934,0.998412698412698,0.824261275272162,0.00802568218298555,0.00938967136150235,0.00161030595813205,0.849673202614379,0.884310618066561,0.993506493506494,0.996845425867508,0,0.987301587301587,0,0.0583468395461912,0.941455696202532,0,0.0015527950310559,0,0.0206022187004754,0.0194174757281553,0.00487012987012987
"9",0.480252764612954,0.123778501628664,0.1,0.00485436893203883,0,0.922314049586777,0.116242038216561,0.86984126984127,1,0.436392914653784,0.0617886178861789,0,0.133768352365416,0.895666131621188,0,0,0,0,0.11869918699187,0.112519809825674,0,0,0,0,0,0,0,0.984025559105431,0.0985691573926868,0.938808373590982,0,0.980676328502415,0.0336,0.308544303797468,0,0.900473933649289,0.888529886914378,0.062992125984252,0.0516129032258065,0.125806451612903,0,0.00480769230769231,0.950080515297907,0.895833333333333,0.979969183359014,0,0,0,0.981937602627258,1,0.941558441558442,0.864992150706436,0,0.9109375,0,0.00160771704180064,0.818181818181818,0.117088607594937,0,0,0,0,0
"10",0.19751166407465,0,0,0.538827258320127,0,0.542622950819672,0,0.592233009708738,0.436392914653784,1,0,0,0,0.548489666136725,0.359177215189873,0,0.357945425361156,0.375594294770206,0,0.0326594090202177,0.354430379746835,0,0.00162074554294976,0,0.359621451104101,0.00160513643659711,0.326366559485531,0.441269841269841,0,0.523052464228935,0.411483253588517,0.408723747980614,0.00159744408945687,0.00311526479750779,0,0.544186046511628,0.577302631578947,0,0,0.07085346215781,0.232258064516129,0.514018691588785,0.515347334410339,0.581648522550544,0.422664624808576,0.247572815533981,0.393416927899687,0.345541401273885,0.416129032258065,0.454545454545455,0.616,0.588235294117647,0.00462249614791988,0.550632911392405,0.305555555555556,0.434294871794872,0.644409937888199,0,0.363777089783282,0,0.405797101449275,0.4,0.387755102040816
"11",0.581320450885668,0.113522537562604,0.976114649681529,0,0.0552845528455285,0.0199667221297837,0.97557003257329,0,0.0617886178861789,0,1,0.0644654088050314,0.964467005076142,0.0245098039215686,0,0.0646203554119548,0,0,0.968595041322314,0.956730769230769,0.0256410256410256,0.0603174603174603,0.06070826306914,0.0489038785834739,0.0243111831442464,0.0634390651085142,0.0147783251231527,0.0959349593495935,0.977491961414791,0.0513245033112583,0,0.09688013136289,0.141693811074919,0.788273615635179,0.065359477124183,0.0142857142857143,0,0.894308943089431,0.935960591133005,0.817133443163097,0.0264026402640264,0,0.00985221674876847,0.00160513643659711,0.104928457869634,0,0,0,0.0919732441471572,0.0574162679425837,0.0112721417069243,0,0.0487012987012987,0.0207006369426752,0,0,0,0.709003215434084,0,0.618729096989967,0,0,0
"12",0,0.890499194847021,0.0372670807453416,0,0.996879875195008,0,0.0473933649289099,0,0,0,0.0644654088050314,1,0.0095389507154213,0,0.0015625,0.989180834621329,0.00159235668789809,0.00155038759689922,0.0112903225806452,0.00920245398773006,0.172043010752688,1,0.995153473344103,1,0.161042944785276,0.996918335901387,0.0416666666666667,0,0.0370942812982998,0,0,0,0.903875968992248,0.0125,0.9953125,0,0,0.128682170542636,0.0951638065522621,0.0938967136150235,0.209448818897638,0,0,0,0,0,0,0.00158227848101266,0,0,0,0,0.979876160990712,0,0.0314465408805031,0,0,0.293129770992366,0.00153139356814701,0.4,0,0,0.00158478605388273
"13",0.783570300157978,0.108108108108108,0.990322580645161,0,0.00495049504950495,0.0501672240802676,0.980327868852459,0.0180921052631579,0.133768352365416,0,0.964467005076142,0.0095389507154213,1,0.0510708401976936,0,0.0111111111111111,0,0,0.993431855500821,0.983818770226537,0,0.0113268608414239,0.00662251655629139,0,0,0.0065252854812398,0,0.156606851549755,0.985576923076923,0.0993485342019544,0,0.166936790923825,0.156351791530945,0.8256,0.00163132137030995,0.0445859872611465,0.0179445350734095,0.902597402597403,0.925324675324675,0.810945273631841,0,0,0.0413223140495868,0.0158478605388273,0.170616113744076,0,0,0,0.150912106135987,0.108974358974359,0.0358306188925081,0.020440251572327,0,0.0500782472613459,0,0,0,0.738437001594896,0,0.55952380952381,0,0,0
"14",0.372019077901431,0.031404958677686,0.0323101777059774,0.0836012861736334,0,1,0.024232633279483,0.985365853658537,0.895666131621188,0.548489666136725,0.0245098039215686,0,0.0510708401976936,1,0,0,0,0.00316957210776545,0.042833607907743,0.0287539936102236,0,0,0,0,0,0,0,0.872785829307568,0.027027027027027,0.844408427876823,0.00321027287319422,0.87075928917609,0.00642054574638844,0.193548387096774,0,1,0.983818770226537,0.00947867298578199,0.00963081861958266,0.023961661341853,0,0.120385232744783,1,0.985668789808917,0.854938271604938,0,0,0,0.878246753246753,0.912698412698413,1,0.966929133858268,0,1,0,0.0373376623376623,0.915064102564103,0.0335463258785942,0,0,0.00324149108589951,0.00165289256198347,0
"15",0,0,0,0.841269841269841,0.0032,0,0,0.00484652665589661,0,0.359177215189873,0,0.0015625,0,0,1,0.00312989045383412,0.991961414790997,0.995245641838352,0,0,0.714285714285714,0,0.00482315112540193,0,0.718995290423862,0,0.932786885245902,0,0,0,0.972049689440994,0,0,0,0.00479233226837061,0,0.00162866449511401,0.0360501567398119,0,0.00158730158730159,0.754777070063694,0.866877971473851,0,0.0046801872074883,0,0.995184590690209,0.984375,0.998412698412698,0,0,0,0.0077639751552795,0.0126984126984127,0,0.969936708860759,0.941455696202532,0.00158730158730159,0,0.987823439878234,0.03125,0.9744,0.972712680577849,1
"16",0,0.859903381642512,0.0360501567398119,0,0.990445859872611,0,0.0409448818897638,0,0,0,0.0646203554119548,0.989180834621329,0.0111111111111111,0,0.00312989045383412,1,0.0128,0.00308641975308642,0.0144230769230769,0.00927357032457496,0.230061349693252,0.987673343605547,0.988817891373802,0.988673139158576,0.218408736349454,0.985849056603774,0.0670926517571885,0,0.0386996904024768,0,0,0,0.855799373040752,0.0141955835962145,0.992138364779874,0,0,0.109717868338558,0.0992125984251968,0.128325508607199,0.266982622432859,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0.989197530864197,0,0.0448717948717949,0,0,0.307332293291732,0.0185758513931889,0.432475884244373,0,0,0.00313971742543171
"17",0,0,0,0.837620578778135,0.00483091787439614,0,0,0.00324149108589951,0,0.357945425361156,0,0.00159235668789809,0,0,0.991961414790997,0.0128,1,0.988835725677831,0,0,0.741379310344828,0.00156494522691706,0.00655737704918033,0,0.74025974025974,0.00325732899022801,0.942622950819672,0,0,0,0.968,0,0,0,0.00810372771474878,0,0.00165289256198347,0.0253968253968254,0,0.0032520325203252,0.784,0.85828025477707,0,0.0016025641025641,0,0.991816693944354,0.977812995245642,0.996768982229402,0,0,0,0.00478468899521531,0.0205371248025276,0,0.968595041322314,0.945072697899838,0,0,0.995290423861852,0.032258064516129,0.97092084006462,0.968698517298188,0.992
