"CIT.7",1
"CIT.8",2
"CIT.14",3
"CIT.17",1
"CIT.23",2
"CIT.25",4
"CIT.30",3
"CIT.33",4
"CIT.36",4
"CIT.37",1
"CIT.38",3
"CIT.40",2
"CIT.44",3
"CIT.55",4
"CIT.63",5
"CIT.65",2
"CIT.67",5
"CIT.68",5
"CIT.72",3
"CIT.75",3
"CIT.105",2
"CIT.108",2
"CIT.112",2
"CIT.132",2
"CIT.139",2
"CIT.142",2
"CIT.169",2
"CIT.170",4
"CIT.172",3
"CIT.175",1
"CIT.178",5
"CIT.179",4
"CIT.180",2
"CIT.181",3
"CIT.182",2
"CIT.185",4
"CIT.187",4
"CIT.188",3
"CIT.190",3
"CIT.192",1
"CIT.193",2
"CIT.194",5
"CIT.252",4
"CIT.253",4
"CIT.254",4
"CIT.255",5
"CIT.256",5
"CIT.258",5
"CIT.269",4
"CIT.273",4
"CIT.274",4
"CIT.276",4
"CIT.280",2
"CIT.281",4
"CIT.283",5
"CIT.285",5
"CIT.289",1
"CIT.290",3
"CIT.293",2
"CIT.294",2
"CIT.345",5
"CIT.346",5
"CIT.347",5
