"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"1",1,0.0738993710691824,0.0903328050713154,0.0884244372990354,0,0.0965189873417722,0.00644122383252818,0.00306748466257669,0.134831460674157,0.0746500777604977,0.154088050314465,0,0.0706260032102729,0,0,0.0286624203821656,0,0,0.234206471494607,0.180817610062893,0,0,0.0382165605095541,0,0,0,0,0.290171606864275,0.123613312202853,0.349606299212598,0,0.136876006441224,0.0548387096774194,0.27536231884058,0,0.116822429906542,0.0063391442155309,0.049306625577812,0.172360248447205,0.919093851132686,0,0,0.106012658227848,0.00313479623824451,0.136724960254372,0,0,0,0.135566188197767,0.109677419354839,0.1,0.00321027287319422,0,0.114197530864198,0,0,0.18,0.280314960629921,0,0.112211221122112,0,0,0
"2",0.0738993710691824,1,0.0321592649310873,0,0.428571428571429,0.0113085621970921,0.0357723577235772,0,0.0512820512820513,0,0,0.428343949044586,0.0213464696223317,0.0015625,0,0.255663430420712,0,0,0.138413685847589,0.0031496062992126,0,0.424528301886792,0.487844408427877,0.41259842519685,0,0.215311004784689,0,0.0236220472440945,0.0418006430868167,0.0063391442155309,0,0.0426929392446634,0.900161030595813,0.256778309409888,0.3765625,0.0333333333333333,0,0.0190174326465927,0.154213036565978,0.0360655737704918,0,0,0.0300157977883096,0,0.0540540540540541,0,0,0,0.0610932475884244,0.0359477124183007,0.0253968253968254,0,0.1856,0.0187793427230047,0,0,0.00154320987654321,0.0330188679245283,0,0.00491803278688525,0,0,0
"3",0.0903328050713154,0.0321592649310873,1,0,0.0046656298600311,0,0.956730769230769,0,0.0300632911392405,0,0.725396825396825,0.00315457413249211,0.844551282051282,0,0,0.0547504025764895,0,0,0.478658536585366,0.667706708268331,0,0.00462962962962963,0.00487012987012987,0.00312989045383412,0,0.00316455696202532,0,0.107476635514019,1,0,0,0.0941558441558442,0.0759289176090469,0.259141494435612,0,0,0,0.814465408805031,0.555905511811024,0.113057324840764,0.0145161290322581,0,0,0,0.0502354788069074,0,0,0,0.0453074433656958,0,0,0,0,0,0,0,0,0.728395061728395,0,0.108974358974359,0,0,0
"4",0.0884244372990354,0,0,1,0,0.0256821829855538,0,0.0925039872408294,0,1,0,0,0,0,0.0213114754098361,0,0,0.0270700636942675,0,0,0.0975609756097561,0,0,0,0.0938566552901024,0,0.025,0,0,0.631832797427653,0.186468646864686,0,0,0,0,0.00635930047694754,0.0952380952380952,0,0,0.13911620294599,0,0.310618066561014,0.00809061488673139,0.0823909531502423,0,0.0281923714759536,0.243156199677939,0.0205047318611987,0,0.00168634064080944,0.0130718954248366,0.0953947368421053,0,0.00475435816164818,0.00166112956810631,0.300955414012739,0.778501628664495,0.00320512820512821,0.0240384615384615,0,0.296596434359805,0.261011419249592,0.0226171243941842
"5",0,0.428571428571429,0.0046656298600311,0,1,0,0.0659163987138264,0,0,0,0.00160513643659711,1,0,0,0,0.679674796747967,0.0126782884310618,0,0,0,0.0252764612954186,1,0.663398692810457,1,0.028006589785832,0.904761904761905,0.025974025974026,0,0.00643086816720257,0,0,0,0.274038461538462,0,1,0,0,0,0,0.0113821138211382,0.242765273311897,0,0,0,0,0,0,0,0,0,0,0,0.122834645669291,0,0,0,0,0.0919003115264797,0.0124610591900312,0.240863787375415,0,0,0
"6",0.0965189873417722,0.0113085621970921,0,0.0256821829855538,0,1,0,0.58307210031348,0.759554140127389,0.0400641025641026,0,0,0,0.6848,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0.575277337559429,0,0.116613418530351,0,0.735,0.00814332247557003,0.125611745513866,0,0.889064976228209,0.56,0,0,0,0,0.00635930047694754,0.905750798722045,0.565853658536585,0.735056542810985,0,0,0,0.690553745928339,0.85924713584288,0.919047619047619,0.499181669394435,0,0.979623824451411,0,0.00626959247648903,0.0614173228346457,0,0,0,0.00644122383252818,0,0
"7",0.00644122383252818,0.0357723577235772,0.956730769230769,0,0.0659163987138264,0,1,0,0.032626427406199,0.0016260162601626,0.656401944894652,0.0604575163398693,0.782392026578073,0,0,0.0634390651085142,0,0,0.466248037676609,0.5888,0,0.0644122383252818,0.00495867768595041,0.0652866242038217,0,0.0694214876033058,0,0.115384615384615,0.86385737439222,0,0,0.0951585976627713,0.0995024875621891,0.237936772046589,0.0717703349282297,0,0,0.750402576489533,0.486798679867987,0.0348258706467662,0.0396694214876033,0,0,0,0.042833607907743,0,0,0,0.0453020134228188,0.00329489291598023,0,0,0.00163398692810458,0,0,0,0,0.818327974276527,0,0.103918228279387,0,0,0
"8",0.00306748466257669,0,0,0.0925039872408294,0,0.58307210031348,0,1,0.338607594936709,0.115085536547434,0,0,0,0.934049079754601,0,0,0,0.125386996904025,0,0,0,0,0,0,0,0,0,0.224770642201835,0,0.109717868338558,0.0015748031496063,0.306709265175719,0,0.00789889415481832,0,0.461300309597523,1,0,0,0,0,0.1390625,0.4921875,0.993710691823899,0.298273155416013,0,0.00949367088607595,0,0.25518341307815,0.4304,0.513178294573643,1,0,0.472263868065967,0,0.1078125,0.150455927051672,0,0,0,0.112341772151899,0.059190031152648,0
"9",0.134831460674157,0.0512820512820513,0.0300632911392405,0,0,0.759554140127389,0.032626427406199,0.338607594936709,1,0.00473186119873817,0.00966183574879227,0,0.0113085621970921,0.446945337620579,0,0,0,0,0.0359375,0.00803858520900321,0,0,0,0,0,0,0,0.767036450079239,0.0303030303030303,0.0897435897435897,0,0.939542483660131,0.0483870967741935,0.266129032258065,0,0.880763116057234,0.338187702265372,0,0.0428571428571429,0,0,0,0.852090032154341,0.331189710610932,0.97588424437299,0,0,0,1,0.944353518821604,0.8384,0.247603833865815,0,0.898894154818325,0,0,0.00470219435736677,0.0378548895899054,0,0,0,0,0
"10",0.0746500777604977,0,0,1,0,0.0400641025641026,0.0016260162601626,0.115085536547434,0.00473186119873817,1,0,0,0,0.00471698113207547,0.0063391442155309,0,0,0.00462249614791988,0,0,0.086286594761171,0,0,0,0.0822368421052632,0,0.0210355987055016,0,0,0.66403785488959,0.168238993710692,0.00158730158730159,0,0,0,0.0108864696734059,0.116057233704293,0,0,0.138486312399356,0,0.262578616352201,0.0144,0.103937007874016,0.00158730158730159,0.0125786163522013,0.0269413629160063,0.00783699059561128,0,0.00644122383252818,0.0231839258114374,0.120826709062003,0,0.0107197549770291,0,0.249607535321821,0.81055900621118,0.0107361963190184,0.0232558139534884,0,0.248037676609105,0.2078125,0.0096
