"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"1",1,0.220285261489699,0.054140127388535,0.367283950617284,0.00319488817891374,0.00476190476190476,0.0625,0,0.0752,0.4464,0.069023569023569,0.00335570469798658,0.0538827258320127,0.00158982511923688,0,0.2384,0,0,0.0726072607260726,0.0979133226324237,0.0498392282958199,0.00661157024793388,0.262166405023548,0.0032,0.0473933649289099,0.00664451827242525,0.00671140939597315,0.147403685092127,0.0691927512355848,0.618739903069467,0,0.102439024390244,0.231746031746032,0.0957792207792208,0.0016,0,0,0.059504132231405,0.071875,0.995073891625616,0.147651006711409,0,0.00313971742543171,0,0.106280193236715,0,0.0128824476650564,0,0.0959119496855346,0.0124804992199688,0.00473186119873817,0,0.0530546623794212,0.0126782884310618,0,0,0.452892561983471,0.257001647446458,0.00643086816720257,0.306320907617504,0,0,0
"2",0.220285261489699,1,0.0046801872074883,0.00152905198776758,0.626728110599078,0.0046801872074883,0.0138888888888889,0.00159235668789809,0.0791139240506329,0.00158478605388273,0.0114192495921697,0.609046849757674,0.00305343511450382,0.0109034267912773,0,0.43701399688958,0.00159744408945687,0,0.0112,0.0191082802547771,0.00317460317460317,0.610932475884244,0.728943338437979,0.58908507223114,0.0188087774294671,0.519543973941368,0.00495049504950495,0.0938511326860841,0.00637958532695375,0.00474683544303797,0,0.0589171974522293,0.995275590551181,0.0672926447574335,0.599056603773585,0.00157977883096367,0.00314465408805031,0.00970873786407767,0.0138888888888889,0.189952904238619,0.119127516778523,0,0.00470219435736677,0.00308641975308642,0.0853080568720379,0,0,0,0.0904907975460123,0.00765696784073507,0.00319488817891374,0.00307219662058372,0.717908082408875,0.010989010989011,0,0,0.00491803278688525,0.0894568690095847,0.00322061191626409,0.160572337042925,0,0,0
"3",0.054140127388535,0.0046801872074883,1,0,0,0,0.993865030674847,0,0.0930232558139535,0,0.954765751211632,0,0.993846153846154,0,0,0.0108695652173913,0,0,0.952830188679245,0.943485086342229,0,0,0,0,0,0,0,0.238782051282051,1,0,0,0.274015748031496,0.0173501577287066,0.73125,0,0,0,0.987361769352291,0.961832061068702,0.13365539452496,0,0,0,0,0.225705329153605,0,0,0,0.208074534161491,0,0,0,0,0,0,0,0,0.808846761453397,0,0.0223642172523962,0,0,0
"4",0.367283950617284,0.00152905198776758,0,1,0,0,0,0.00765696784073507,0,1,0,0,0,0,0.0303951367781155,0,0.029874213836478,0.0323574730354391,0,0,0.210608424336973,0,0,0,0.193846153846154,0,0.0503246753246753,0.0015748031496063,0,0.891849529780564,0.0563380281690141,0,0,0,0,0,0.00619195046439629,0,0,0.302003081664099,0.00329489291598023,0.114329268292683,0,0.00458015267175573,0,0.034375,0.209553158705701,0.0275229357798165,0,0,0,0.00907715582450832,0.0015552099533437,0,0.0361635220125786,0.100903614457831,0.953821656050955,0.0186915887850467,0.0550314465408805,0.00632911392405063,0.0996932515337423,0.0765625,0.0361067503924647
"5",0.00319488817891374,0.626728110599078,0,0,1,0,0,0,0,0,0,1,0,0,0,0.318818040435459,0.00645161290322581,0,0,0,0.00317965023847377,1,0.4875,1,0.0300157977883096,0.834138486312399,0.00643086816720257,0,0,0,0,0,0.579113924050633,0,1,0,0,0,0,0.0110584518167457,0.102990033222591,0,0,0,0,0,0,0,0,0,0,0,0.509316770186335,0,0,0,0,0.014308426073132,0.00158227848101266,0.0914927768860353,0,0,0
"6",0.00476190476190476,0.0046801872074883,0,0,0,1,0,0.89375,0.486024844720497,0.00626959247648903,0,0,0,0.902476780185758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33868378812199,0,0.00474683544303797,0,0.34012539184953,0.00153609831029186,0.0640625,0,0.996870109546166,0.88785046728972,0,0,0,0,0.00763358778625954,1,0.897239263803681,0.348242811501597,0,0,0,0.330275229357798,0.938837920489297,1,0.862928348909657,0,0.953416149068323,0,0,0.00961538461538462,0,0,0,0,0,0
"7",0.0625,0.0138888888888889,0.993865030674847,0,0,0,1,0,0.128482972136223,0,0.920508744038156,0,0.96937212863706,0,0,0.0122699386503067,0,0,0.914516129032258,0.9078125,0,0,0.00305810397553517,0,0,0,0,0.271704180064309,0.971291866028708,0.00315955766192733,0,0.308426073131955,0.0388198757763975,0.695852534562212,0,0,0,0.960815047021944,0.920489296636086,0.1234375,0.00164473684210526,0,0,0,0.248796147672552,0,0,0,0.246177370030581,0,0,0,0,0.00154320987654321,0,0,0,0.903691813804173,0,0.0241935483870968,0,0,0
"8",0,0.00159235668789809,0,0.00765696784073507,0,0.89375,0,1,0.303937007874016,0.0175438596491228,0,0,0,0.954258675078864,0,0,0,0.00315955766192733,0,0,0,0,0,0,0,0,0,0.184039087947883,0,0.00794912559618442,0.00161812297734628,0.196513470681458,0.00156985871271586,0.0328125,0,0.927330173775671,1,0,0,0,0,0.0348101265822785,0.871835443037975,1,0.18370607028754,0,0.0016,0,0.193548387096774,0.793798449612403,0.901098901098901,1,0,0.81619937694704,0,0.0263975155279503,0.0209677419354839,0,0,0,0.0157232704402516,0.00794912559618442,0
"9",0.0752,0.0791139240506329,0.0930232558139535,0,0,0.486024844720497,0.128482972136223,0.303937007874016,1,0,0.0663430420711974,0,0.096875,0.391236306729264,0,0,0,0,0.0898876404494382,0.0662460567823344,0,0,0,0,0,0,0,0.909531502423263,0.0920840064620355,0.0207336523125997,0,0.928571428571429,0.096875,0.356466876971609,0,0.421974522292994,0.313479623824451,0.0423452768729642,0.080370942812983,0.0399361022364217,0,0,0.50547730829421,0.327586206896552,0.973520249221184,0,0,0,1,0.58359133126935,0.445324881141046,0.274725274725275,0,0.5703125,0,0,0,0.1424,0,0,0,0,0
"10",0.4464,0.00158478605388273,0,1,0,0.00626959247648903,0,0.0175438596491228,0,1,0,0,0,0.00784929356357928,0.00783699059561128,0,0.00646203554119548,0.0110062893081761,0,0,0.203821656050955,0,0,0,0.186413902053712,0.00163398692810458,0.0473083197389886,0.00325732899022801,0,0.920711974110032,0.0421393841166937,0.00161030595813205,0,0,0,0.00792393026941363,0.0205047318611987,0,0,0.361464968152866,0.00332225913621262,0.0901898734177215,0.0048,0.0157232704402516,0.0016,0.0112,0.0143540669856459,0.00938967136150235,0.0015552099533437,0.00769230769230769,0.00796178343949045,0.0231124807395994,0.00312989045383412,0.00470219435736677,0.00647249190938511,0.0822981366459627,0.977161500815661,0.0304487179487179,0.0432,0.00651465798045603,0.0771604938271605,0.0542264752791069,0.00966183574879227
